ID;COD;file_audio;data;orario;AUTORE;operatore;file_immagine;Titolo;directory;POINT_X;POINT_Y;classe_legenda;microfono;frequenza_di_campionamento;bitrate;gain;impostazioni_varie;note;TENERE;TESTO;IMMAGINE;icon
39;AL_6;Copia di marcite-sforzesca.mp3;;;Alice;Alice;IMG-20220208-WA0004.jpg;Marcite;AL_SFORZESCA MARCITE;8.904653;45.288236;;;;;;;;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/water-wave_1f30a.png
39;GU_34;ZOOM0025.mp3;13/02/2022;15:54;Guido;Guido;;Cammino cammino cammino;GU_SANTA_MARCITA;8.864371;45.292295;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;passi asmr;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/pedestrian_1f6b6.png
40;AL_7;Copia di castello-campane.mp3;;;Alice;Alice;20220209_123650.jpg;Campane;AL_CASTELLO CAMPANE;8.857617;45.316647;;;;;;;;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/bell_1f514.png
40;GU_35;ZOOM0028.mp3;13/02/2022;16:26;Guido;Guido;;Via Pace della Sforzesca;GU_BATTAGLIA_SFORZESCA_1;8.866013;45.284964;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;passi asmr;0;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/fallen-leaf_1f342.png
41;AL_8;Copia di strada-coperta-sopra-portone.mp3;;;Alice;Alice;strada coperta.jpg;Strada coperta;AL_STRADA COPERTA;8.858551;45.315874;;;;;;;;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/309/woman-walking_1f6b6-200d-2640-fe0f.png
41;GU_36;ZOOM0029.mp3;13/02/2022;16:44;Guido;Guido;;Aliante;GU_BATTAGLIA_SFORZESCA_2;8.865029;45.28298;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;aliante;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/small-airplane_1f6e9.png
42;AL_9;Copia di strada-vignazza-piccolini-su-terdoppio.mp3;;;Alice;Alice;;Strada Vignazza;AL_STRADA VIGNAZZA PICCOLINI;8.804277;45.313771;;;;;;;;1;1;0;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/water-wave_1f30a.png
42;GU_37;ZOOM0032.mp3;13/02/2022;16:59;Guido;Guido;;Gioventù;GU_BATTAGLIA_SFORZESCA_3;8.859826;45.283684;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;uccellini, canale, ragazzi;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/sparkles_2728.png
43;AL_10;Copia di st. terdoppio piccolini.wav;;;Alice;Alice;IMG-20220208-WA0001.jpg;Piccolini;AL_TERDOPPIO PICCOLINI;8.80616;45.318815;;;;;;;;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/water-wave_1f30a.png
43;GU_38;ZOOM0036.mp3;13/02/2022;17:21;Guido;Guido;;Energia pulita;GU_BATTAGLIA_SFORZESCA_4;8.855915;45.283238;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;ronzio centrale fotovoltaica;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/high-voltage-sign_26a1.png
44;AL_11;Copia di via-castellana-piccolini.mp3;;;Alice;Alice;;Via Castellana;AL_VIA CASTELLANA;8.812298;45.310196;;;;;;;;1;1;0;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/fallen-leaf_1f342.png
44;GU_39;ZOOM0037.mp3;13/02/2022;17:50;Guido;Guido;;I ragazzi sono andati a casa;GU_BATTAGLIA_SFORZESCA_5;8.8599;45.284372;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;uccellini;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/bird_1f426.png
45;AL_12;Copia di volo-cigni-lapide-boselli.mp3;;;Alice;Alice;;Lapide Boselli;AL_LAPIDE BOSELLI;8.934893;45.302898;;;;;;;;1;1;0;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/153/swan_1f9a2.png
45;GU_40;ZOOM0038.mp3;13/02/2022;17:56;Guido;Guido;;Roggia;GU_BATTAGLIA_SFORZESCA_6;8.859578;45.286434;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;acqua;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/water-wave_1f30a.png
46;GU_41;ZOOM0041.mp3;13/02/2022;19:02;Guido;Guido;;Maria Addolorata;GU_ADDOLORATA;8.850307;45.325122;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;campane;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/bell_1f514.png
47;AL_13;Copia di luna park.wav;;;Alice;Alice;;Luna Park;AL_LUNA PARK;8.87454;45.31646;;;;;;;tecnicamente è stato registrato in piazza calzolai d'italia, ma l'hanno sempre fatto al Cascame…pertanto abbiamo barato;1;1;0;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/roller-coaster_1f3a2.png
48;GU_42;ZOOM0024.mp3;16/02/2022;14:31;Guido;Guido;;Fresa;GU_BERCLEDA_INDUSTRIA;8.863469;45.305648;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;fresa;1;1;0;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/60/microsoft/74/gear_2699.png
49;GU_43;ZOOM0023.mp3;17/02/2022;21:01;Guido;Guido;;Distopia;GU_BERCLEDA_TELECAMERA;8.863925;45.305114;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;telecamera, ronzio elettrico, uomo con la tosse, cane, bici;1;1;1;https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/160/microsoft/74/video-camera_1f4f9.png
